name,class,hasJson,train
NM- 707094961075260793431102,1,1,0
nm-0110c680,1,1,1
nm-0189e3d2f208f34c0ac853b5c16736a2d4e1aaad552ab2ee0f327eb20b639390,1,1,0
nm-037244631f70a83e747c173365268196,1,1,0
nm-05864ca56c986e274b,1,1,0
nm-08f790529822720e25eadf4075cb0a46f21fab67,1,1,1
nm-0928ab6b,1,1,0
NM-0931t9ghji,1,1,1
nm-0b88fcahjzftc2fc4a1ddadfj078a9304,1,1,1
nm-0e2f5a8ff1f66e3b6f3c035284db1ff,1,1,1
nm-0e56cbb8,1,1,1
NM-1,1,1,1
nm-1080764posdjcqwv,1,1,1
nm-1109193329,1,1,1
nm-11109232733_gaito_927x695,1,1,1
nm-11109232929_gtu767x1023,1,1,1
nm-1112b4a918a0367fde40e6f024a296944b,1,1,1
NM-136624110858132141851068,1,1,1
NM-154434400013378309155156,1,1,1
nm-161357704914969017,1,1,1
NM-1684Ffsf6,1,1,1
NM-16GAGS1H6,1,1,1
nm-16s5d16sd1c2,1,1,1
nm-18281166p1,1,1,1
nm-18281166p2,1,1,1
NM-18ghu2tg,1,1,0
nm-191389ca390f80c55493adb74f0ce8d9bd2cb3666cbb48f9aa0a3d8221f8f231,1,1,1
nm-1921133203,1,1,0
NM-192812471,1,1,0
NM-192812472,1,1,0
nm-19281272cwxx,1,1,0
nm-19291255zyw30,1,1,1
nm-19291255zyw31,1,1,1
nm-19291255zyw32,1,1,0
nm-19291255zyw33,1,1,1
nm-1bf61v6d5vs15ds3,1,1,1
nm-1vn1190v1hr91hx92hxr1,1,1,1
NM-2,1,1,1
nm-20211103155344,1,1,1
nm-20211103155355,1,1,1
nm-20211107-153504,1,1,1
nm-20211108-122711,1,1,1
nm-20211108-122714,1,1,1
nm-22278a3777166cb27c61415feef013ae29,1,1,1
nm-2343sdfs8sf,1,1,0
nm-25886737fa,1,1,1
nm-260646630537735788,1,1,0
NM-273435468595,1,1,1
NM-2765vbry9726gf,1,1,1
nm-27666c7f98f4,1,1,1
NM-2fj8fj2984hf4h,1,1,1
nm-2qajdh7kox,1,1,1
NM-3,1,1,1
NM-32782389fh29y334g,1,1,1
nm-3338375d7e0be7ecb17eb04f87d9063ede,1,1,0
NM-38yqh90e9gu0938,1,1,1
NM-39872tg64rf38hbcvbg26,1,1,1
nm-39fhefrgd,1,1,1
NM-4,1,1,1
nm-41fg899ger,1,1,1
NM-423920269350042722178994,1,1,1
nm-4359djfsdf,1,1,1
nm-43857iygoiq,1,1,1
nm-444737167fed2e635ff1d502faad9c24f7,1,1,1
nm-46692dfa611c0dae28b842933b936c92dc9fe75266277c9c62f867cb19eeacb6,1,1,0
nm-46vwWs1Wx7djEdIg,1,1,1
nm-4d5c01842f37d9,1,1,1
nm-4nvpy9bui4,1,1,0
nm-526ef5a94abd659bcd72897b35e8bc5e,1,1,1
nm-52JseONM5y3Yowgz,1,1,1
nm-53o0qmtxek,1,1,1
nm-54fdg,1,1,1
nm-561f65v65f1v4,1,1,1
nm-56e731e6d6021fee8eb5,1,1,1
nm-5fju8kbfd4,1,1,0
nm-5jg84ml6,1,1,1
nm-5sad4a64ca64xx,1,1,1
nm-64ds2rv,1,1,1
nm-6gfcv654nm,1,1,1
nm-6pehaqts1g,1,1,0
nm-73186396,1,1,0
nm-749a7a05,1,1,1
nm-765ghddghjk,1,1,0
nm-774b681af44cf5ef5aba840dd95aa65,1,1,1
NM-782609665707171480631234,1,1,1
nm-7E2TRvATq5_iyHbqJTjyA8KqKg,1,1,1
nm-7e54e702be53f,1,1,1
NM-81y3gh,1,1,1
nm-846500d885be9f567163d8110a69eb6db6b0e467d664dea3d3a42dc188f72c94,1,1,1
nm-858484202814885159,1,1,1
nm-8646fafcasd5xx,1,1,1
nm-864ga6f43sxx,1,1,1
nm-8798fdfdd,1,1,0
nm-8805ad655b,1,1,0
nm-882144204935775651,1,1,1
nm-89cqof,1,1,0
nm-8cbe746f8edbd4e4fcfade9fb4137c7,1,1,1
nm-8hvfqaszf6,1,1,1
NM-908156317103,1,1,1
nm-92436nojih,1,1,1
NM-968964657239755971855175,1,1,1
nm-9870iucsahefaga,1,1,1
nm-98rhtrhu8k4w,1,1,0
nm-9aefd35073097d5f8a0bc3d843124c1eb9d61514695cfb75f4c75d1c72e21522,1,1,1
nm-9sew96f5sdz,1,1,1
nm-9u5vl15pp4,1,1,1
nm-a1dd8f6c11bfc7c27aa5637fd52a7367,1,1,1
nm-a64d8c3b,1,1,1
nm-aaihud1126,1,1,1
nm-abcd1234,1,1,1
nm-abcd1235,1,1,1
nm-abcd1237,1,1,1
nm-abcuqhrj32001,1,1,1
nm-aca7866e,1,1,1
nm-adajioa9a7aanaa,1,1,1
nm-aghy4657,1,1,1
nm-aj9j2i,1,1,1
nm-ajuyim598248,1,1,1
nm-akslzihd52,1,1,0
nm-ashd812e,1,1,1
nm-askjhdjk,1,1,1
nm-awd7d87fae8,1,1,1
nm-awehf4164,1,1,1
nm-aysgfqgf,1,1,1
nm-b8b42eb105,1,1,1
nm-b94g87wg5b,1,1,0
nm-bdc9365q,1,1,1
nm-buydr0901,1,1,0
nm-c8305tgzaujdb2788037fsdfgztz5f2829c,1,1,0
nm-ca60f92e6f4ce1c2519f84c47c29b72,1,1,1
nm-cb78351kj7,1,1,0
nm-chh546,1,1,1
nm-cjrow0138844,1,1,1
nm-cnuag15688,1,1,1
nm-cnvir421598,1,1,1
nm-dasfdf,1,1,1
nm-dbcf0ca2,1,1,1
nm-dfjak1345,1,1,1
nm-dhfkjsr467,1,1,1
nm-djk5991256,1,1,1
nm-dokjlgfg1,1,1,1
nm-dokjlgfg2,1,1,0
nm-dokjlgfg3,1,1,1
nm-dokjlgfg4,1,1,0
nm-ds654,1,1,1
nm-dshdaeu123,1,1,1
nm-dsjgio98isd,1,1,1
nm-du8ju5zusi,1,1,0
nm-duh9321sd,1,1,1
nm-durxcvybk4962978,1,1,1
nm-e683c89a97b6a2131911897dd7daea69c536d80d553811c3120a3de68f9a6d1f,1,1,1
nm-eef513e4,1,1,0
nm-efgnm9ijbf,1,1,1
nm-eqe466,1,1,1
nm-ert74kvmqr,1,1,1
nm-export1636435846335,1,1,1
nm-export1636435847398,1,1,1
nm-export1636435848407,1,1,1
nm-f1b1416777d6c5be6d83044c39ac991732d52b1015aa7d2a29e90adfe08c837c,1,1,1
nm-f1c3f46ef47c463a3cbbf67414fc08d7,1,1,1
nm-f298508326981f2c59059db975d1b71390e1cc6f348be106c0d6f833026bd38c,1,1,1
nm-f43003,1,1,0
nm-f56g4f64d,1,1,1
nm-f5g4,1,1,1
nm-fag141griun894,1,1,0
nm-fc41851d9373,1,1,0
nm-fc5eW2q,1,1,0
nm-fdgvyhr54dg,1,1,1
nm-fdjisea583,1,1,0
nm-fdv52jk9f8,1,1,1
nm-fhduewo189,1,1,0
nm-gh8bn739y1,1,1,1
nm-ghdgfh331,1,1,1
nm-gjs0kl35,1,1,1
nm-guywegaduya,1,1,1
nm-GVkX18Q25NktQPTmvDEbp,1,1,1
nm-gyuo456gfv,1,1,1
nm-h7d2uhejnd8q,1,1,1
nm-hby5211314,1,1,1
nm-hiksdh29ij,1,1,1
nm-hxaslo8xss,1,1,1
nm-i1hhju5k6n,1,1,1
nm-ijdsfiu298uh,1,1,1
nm-j3joq97a3e,1,1,0
nm-jadflajsf8,1,1,1
nm-jiojodshf,1,1,1
nm-jkdf56,1,1,0
nm-jkdfjk4564,1,1,0
nm-jkpofr38dh,1,1,1
